Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,Browser,Version,OS,image-left,image-right,audio
104,1_1,flower,1_1DisfluentR,mouse,click,fixation,,1551258042048.6838,0,522,357,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,layer,show,image-left,,1551258042048.6838,9.999986613140208,,,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,layer,show,image-right,,1551258042048.6838,10.199897099650115,,,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,layer,playbackstart,audio,,1551258042048.6838,1031.6996452035091,,,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,layer,playbackend,audio,,1551258042048.6838,3859.199653012518,,,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,4899.39995618035,521,356,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,4911.499895359346,520,355,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,4923.799745024895,514,353,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,4935.999639447153,509,351,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,4948.399890584711,504,349,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,4960.599785006998,498,348,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,4973.000036144527,490,347,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,4986.2998844713875,481,345,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,4998.799644623403,472,345,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5009.699674654621,460,345,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5018.299820214437,442,345,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5021.599703347121,450,345,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5046.099893663675,430,345,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5058.4996985724865,418,345,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5070.70003922352,405,348,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5082.99988888904,390,348,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5095.2997385545605,380,349,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5107.699989692119,368,351,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5119.899884114406,353,352,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5132.399644266421,337,355,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5144.599984917484,321,355,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5156.999789826266,308,356,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5169.199684248524,292,356,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5181.49998014282,276,357,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5192.799831147029,257,360,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,canvas,,1551258042048.6838,5205.099680812578,238,360,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,image-left,,1551258042048.6838,5218.399975368186,225,361,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,image-left,,1551258042048.6838,5231.300002721997,209,363,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,image-left,,1551258042048.6838,5243.799762874041,197,365,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,image-left,,1551258042048.6838,5255.499881080046,184,365,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,image-left,,1551258042048.6838,5267.699775502304,174,365,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,image-left,,1551258042048.6838,5278.699760776755,168,365,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,image-left,,1551258042048.6838,5290.899655199042,160,365,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,move,image-left,,1551258042048.6838,5303.000040606814,153,365,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,mouse,click,image-left,,1551258042048.6838,5732.099867782425,153,365,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,flower,1_1DisfluentR,stage,end,,,1551258042048.6838,5741.199810977487,,,edge,17.17134.0,Windows 10,d43.png,t_flower.png,e_flower_d.wav
104,1_1,basket,1_1FillerL,mouse,click,fixation,,1551258051040.3835,0,518,357,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,layer,show,image-left,,1551258051040.3835,8.600166978809284,,,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,layer,show,image-right,,1551258051040.3835,8.80007746530464,,,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,layer,playbackstart,audio,,1551258051040.3835,1008.4002564922848,,,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,layer,playbackend,audio,,1551258051040.3835,5032.900000580092,,,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,6946.600249977346,516,356,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,6958.400323426613,512,356,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,6970.800128335395,510,355,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,6983.000022757682,508,355,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,6995.19991717994,505,355,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7019.800062739756,504,355,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7031.999957162043,502,355,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7044.500163542834,501,355,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7057.100325166917,500,355,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7068.999907630641,498,355,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7081.100293038442,497,355,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7090.699991030793,490,359,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7094.000320392253,494,356,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7117.500065818749,486,360,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7130.200182686065,484,361,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7142.100211378565,480,363,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7154.400061044085,477,364,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7166.599955466372,474,367,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7179.300072333688,469,368,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7191.599921999208,465,368,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7203.700307407009,461,369,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7215.900201829267,458,371,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7228.200051494816,450,372,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
104,1_1,basket,1_1FillerL,mouse,move,canvas,,1551258051040.3835,7240.499901160336,441,373,edge,17.17134.0,Windows 10,fr_basket.png,d13.png,f_basket_.wav
