HIT ID	WORKER ID	HIT RATE	COMMENTS	BATCH
  3UUIU9GZC553CVCRKQON4JIEZZQT5T	  A334EHHK4GZN29	  100% (1/1)	  GREENBERG	mtrack_loy 4
  3UUIU9GZC553CVCRKQON4JIEZZQT5T	  A6QQ0I9NEP8ZD	  100% (2/2)	  GREENBERG	mtrack_loy 4
  3UUIU9GZC553CVCRKQON4JIEZZQT5T	  A3UA4DNJFUNQ44	  100% (2/2)	  GREENBERG	mtrack_loy 4
  3UUIU9GZC553CVCRKQON4JIEZZQT5T	  A2Z9Z0D8IASTKK	  100% (1/1)	  GREENBERG comments: first game crashed :( i had to reload and play again. Overall fun game! I think this took about 10 minutes, I lost track of time!	mtrack_loy 4
  3UUIU9GZC553CVCRKQON4JIEZZQT5T	  A1S25NBTJQC64E	  100% (1/1)	  PBeHRh I enjoyed doing this experience, it was different.	mtrack_loy 4
  3UUIU9GZC553CVCRKQON4JIEZZQT5T	  A1LBQT5SJI6F3R	  100% (2/2)	  GREENBERG . It took me almost 8 min to complete the task. I think it was about the research to see how people are influenced what they choose by how some one says truth or lie.	mtrack_loy 4
  3UUIU9GZC553CVCRKQON4JIEZZQT5T	  A15SL0SEPN61TD	  100% (1/1)	  GREENBERG it took me around 10 minutes to complete the task. I believe it was studying the way people lie and how we judge it based on the way they talk.	mtrack_loy 4
  3UUIU9GZC553CVCRKQON4JIEZZQT5T	  A9IRQ05LHE0KQ	  100% (1/1)	  GREENBERG completed in 16:25 min, took a few minutes to resize window. MY guess is that the test is about how people react to confidence of voice.	mtrack_loy 4
  3UUIU9GZC553CVCRKQON4JIEZZQT5T	  A2BX0O03OQ4EJ5	  100% (1/1)	  GREENBERG	mtrack_loy 4
  3DFYDSXB2W0QJ7619XIRAPNL0BLUJU	  A3HR5PPIQ5ZGHE	  100% (1/1)	  GREENBERG Task took me just over 7 minutes. I figured you were testing to see if 'umms' and 'uhs' made it easier for people to sense a lie or not.	mtrack_loy 3
  3DFYDSXB2W0QJ7619XIRAPNL0BLUJU	  A1JO4Z8LY6IDKB	  100% (2/2)	  GREENBERG Took me around 8 minutes in total.	mtrack_loy 3
  3DFYDSXB2W0QJ7619XIRAPNL0BLUJU	  A13TA3WX9VH0MM	  100% (1/1)	  GREENBERG	mtrack_loy 3
  3DFYDSXB2W0QJ7619XIRAPNL0BLUJU	  AR1CZ45TOJ3Q2	  100% (1/1)	  GREENBERG I assume it was to do with how hesitation in speech impacts on how much you trust the speaker.	mtrack_loy 3
  3DFYDSXB2W0QJ7619XIRAPNL0BLUJU	  A1I8EWT2DMNAKU	  100% (1/1)	  GREENBERG	mtrack_loy 3
  3DFYDSXB2W0QJ7619XIRAPNL0BLUJU	  A1R29S9DVWWY2X	  100% (2/2)	  GREENBERG	mtrack_loy 3
  3DFYDSXB2W0QJ7619XIRAPNL0BLUJU	  A35K8JNOQ129T5	  100% (1/1)	  GREENBERG	mtrack_loy 3
  3DFYDSXB2W0QJ7619XIRAPNL0BLUJU	  A6QQ0I9NEP8ZD	  100% (2/2)	  GREENBERG	mtrack_loy 3
  3DFYDSXB2W0QJ7619XIRAPNL0BLUJU	  AMQOY20HZIZCE	  100% (2/2)	  GREENBERG	mtrack_loy 3
 38G0E1M85M5ZA26VQMWADDYFV2CVU8	  A1I4ATPNZBOA16	  100% (1/1)	  {}	mtrack_loy 5
  38G0E1M85M5ZA26VQMWADDYFV2CVU8	  A39VPS6S6KW20U	  100% (1/1)	  GREENBERG	mtrack_loy 5
  38G0E1M85M5ZA26VQMWADDYFV2CVU8	  A3PYV60XFJIGSO	  100% (1/1)	"  GREENBERG Task took about 12 mins and I think you were testing whether people are more likely to believe someone when they use fillers such as ""urmm"""	mtrack_loy 5
  38G0E1M85M5ZA26VQMWADDYFV2CVU8	  ASMSCHRHB9FML	  100% (1/1)	  The game stops loading each time at a certain point, I tried three times with the last code of: AMYfPp. The circle just continuously rotates in the centre. Probably takes me approx. 5-10mins before it crashes. Sounds like you're testing if humans are able to tell the difference between truth or lies via tone of voice or words used.	mtrack_loy 5
  38G0E1M85M5ZA26VQMWADDYFV2CVU8	  A2INGIZ3TMH7Q9	  100% (1/1)	  GREENBERG Took me 5 minutes-can't guess what you are testing -maybe voice deception detection if that is even a thing or concept?	mtrack_loy 5
  38G0E1M85M5ZA26VQMWADDYFV2CVU8	  AVRDGPOFATVAR	  100% (1/1)	  GREENBERG (took about 5 minutes, I guess I was testing whether you can tell somebody is lying without having the chance to think about it for that long.)	mtrack_loy 5
  38G0E1M85M5ZA26VQMWADDYFV2CVU8	  A1LBQT5SJI6F3R	  100% (2/2)	  GREENBERG	mtrack_loy 5
  38G0E1M85M5ZA26VQMWADDYFV2CVU8	  A1LQSODJ1E706K	  100% (1/1)	  Completion Code: GREENBERG It took about 10 minutes. It might be a vocabulary test.	mtrack_loy 5
  38G0E1M85M5ZA26VQMWADDYFV2CVU8	  A2X4F7K9G49DDC	  100% (1/1)	  GREENBERG	mtrack_loy 5
  3ATYLI1PRT2V62M4DB6IBJVWHKYJOW	  A3FCN2DOM8264K	  100% (1/1)	  GREENBERG very easy 4 mins	mtrack_loy 2
  3ATYLI1PRT2V62M4DB6IBJVWHKYJOW	  AOEVZM74U1SVT	  100% (1/1)	  Completion code: GREENBERG, 18minutes. I believe that the test was based on the manner of delivery and general speech i.e. stuttering etc.	mtrack_loy 2
  3ATYLI1PRT2V62M4DB6IBJVWHKYJOW	  A1XCOHK8WF6TBM	  100% (1/1)	  GREENBERG	mtrack_loy 2
  3ATYLI1PRT2V62M4DB6IBJVWHKYJOW	  A1WJRTHWP0EC65	  100% (1/1)	  GREENBERG Task took around 12 minutes	mtrack_loy 2
  3ATYLI1PRT2V62M4DB6IBJVWHKYJOW	  A3NCFB0P70CNQU	  100% (1/1)	  GREENBERG It took me about 15 minutes. I think you were testing how the delivery or confidence of a statement alludes to someone lying or being truthful.	mtrack_loy 2
  3ATYLI1PRT2V62M4DB6IBJVWHKYJOW	  A67UM6SBQFETJ	  100% (1/1)	  GREENBERG Completed in 7 minutes with a score of 535. It was an enjoyable task, thank you!	mtrack_loy 2
  3ATYLI1PRT2V62M4DB6IBJVWHKYJOW	  A3UA4DNJFUNQ44	  100% (2/2)	  GREENBERG It took me about 5 mins to complete, shorter than I expected. I think you are testing trust and intuition.	mtrack_loy 2
  3ATYLI1PRT2V62M4DB6IBJVWHKYJOW	  A2PRHFVQ0HQY15	  100% (1/1)	  GREENBERG	mtrack_loy 2
  3ATYLI1PRT2V62M4DB6IBJVWHKYJOW	  A1JO4Z8LY6IDKB	  100% (2/2)	  GREENBERG The task took approximately four minutes. I'm guessing that the pauses in the words spoken were a test to see if they were perceived to be less truthful?	mtrack_loy 2
  3UXQ63NLAAMHIYLVCRD9LE8PEAKBLM	  A9HQ3E0F2AGVO	  100% (7/7)	  GREENBERG	mtrack_loy 1
  3UXQ63NLAAMHIYLVCRD9LE8PEAKBLM	  A27SMEOPKV84VI	  100% (4/4)	  GREENBERG	mtrack_loy 1
  3UXQ63NLAAMHIYLVCRD9LE8PEAKBLM	  A2P065E9CYMYJL	  100% (5/5)	  GREENBERG	mtrack_loy 1
  3UXQ63NLAAMHIYLVCRD9LE8PEAKBLM	  A2S75O867RJG0I	  100% (2/2)	  GREENBERG	mtrack_loy 1
  3UXQ63NLAAMHIYLVCRD9LE8PEAKBLM	  A2C7TMRC2QHTIW	  100% (5/5)	  GREENBERG	mtrack_loy 1
  31N9JPQXIPIHXBR2OW3KKHFCFVYNHG	  A2337W0S5B5GT8	  100% (1/1)	  GREENBERG AND IT IS NICE	mtrack_loy 6
  31N9JPQXIPIHXBR2OW3KKHFCFVYNHG	  A3BUDCPNZKPOTQ	  100% (1/1)	  GREENBERG VERY NICE	mtrack_loy 6
  31N9JPQXIPIHXBR2OW3KKHFCFVYNHG	  A335B5XCD1FTAD	  100% (1/1)	  GREENBERG	mtrack_loy 6
  31N9JPQXIPIHXBR2OW3KKHFCFVYNHG	  A2EOQRKVJAY5UR	  100% (1/1)	  GREENBERG AND IT'S VERY INTERESTING.	mtrack_loy 6
