Participant,Question,Answers...
124,Please enter your MTurk Worker ID,A2B7SLWCVD08M4
124,Was any language besides English spoken in your home before the age of 6?,Yes
126,Please enter your MTurk Worker ID,AAZHBOPJHKPE5
126,Was any language besides English spoken in your home before the age of 6?,No
125,Please enter your MTurk Worker ID,A317ODK9TPFT24
125,Was any language besides English spoken in your home before the age of 6?,Yes
127,Please enter your MTurk Worker ID,A1Q0Q8FU9XCXYU
127,Was any language besides English spoken in your home before the age of 6?,No
128,Please enter your MTurk Worker ID,A25O4KQQFM5CSR
128,Was any language besides English spoken in your home before the age of 6?,No
129,Please enter your MTurk Worker ID,A27OP8C3IRZPH0
129,Was any language besides English spoken in your home before the age of 6?,No
