Participant,Question,Answers...
137,Please enter your MTurk Worker ID,A25O4KQQFM5CSR
137,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
140,Please enter your MTurk Worker ID,AAZHBOPJHKPE5
140,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
139,Please enter your MTurk Worker ID,A1Q0Q8FU9XCXYU
139,Was any language besides English spoken in your home before the age of 6?,No - Only English
138,Please enter your MTurk Worker ID,A3UA4DNJFUNQ44
138,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
141,Please enter your MTurk Worker ID,A334EHHK4GZN29
141,Was any language besides English spoken in your home before the age of 6?,No - Only English
142,Please enter your MTurk Worker ID,A2B7SLWCVD08M4
142,Was any language besides English spoken in your home before the age of 6?,No - Only English
143,Please enter your MTurk Worker ID,A317ODK9TPFT24
143,Was any language besides English spoken in your home before the age of 6?,No - Only English
145,Please enter your MTurk Worker ID,ALK53VJY2AM0O
145,Was any language besides English spoken in your home before the age of 6?,No - Only English
144,Please enter your MTurk Worker ID,A3INBFVWDM4OFW
144,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
147,Please enter your MTurk Worker ID,A30H28C1CN9YY1
147,Was any language besides English spoken in your home before the age of 6?,Yes - Some other language and not English
146,Please enter your MTurk Worker ID,A1NQ86UDXZT5CR
146,Was any language besides English spoken in your home before the age of 6?,No - Only English
148,Please enter your MTurk Worker ID,A1S795QOR5VMJ5
148,Was any language besides English spoken in your home before the age of 6?,No - Only English
149,Please enter your MTurk Worker ID,A3EN925F3RNQWT
149,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
150,Please enter your MTurk Worker ID,A3EN925F3RNQWT
150,Was any language besides English spoken in your home before the age of 6?,Yes - English and some other language
151,Please enter your MTurk Worker ID,A9IRQ05LHE0KQ
151,Was any language besides English spoken in your home before the age of 6?,No - Only English
152,Please enter your MTurk Worker ID,A1JO4Z8LY6IDKB
152,Was any language besides English spoken in your home before the age of 6?,No - Only English
153,Please enter your MTurk Worker ID,ASMSCHRHB9FML
153,Was any language besides English spoken in your home before the age of 6?,No - Only English
154,Please enter your MTurk Worker ID,AGJLE5WTY7THM
154,Was any language besides English spoken in your home before the age of 6?,No - Only English
155,Please enter your MTurk Worker ID,AGJLE5WTY7THM
155,Was any language besides English spoken in your home before the age of 6?,No - Only English
156,Please enter your MTurk Worker ID,A145FGS01EIF1Z
156,Was any language besides English spoken in your home before the age of 6?,No - Only English
157,Please enter your MTurk Worker ID,A13TA3WX9VH0MM
157,Was any language besides English spoken in your home before the age of 6?,Yes - Some other language and not English
